Valid narrative: DelayedStartRepanse   : [13, 04 2020 20:07:11]
Starting narrative   : [13, 04 2020 20:07:11]
Valid narrative: DelayedStartKhazrak   : [13, 04 2020 20:07:17]
Valid narrative: DelayedStartCylostraDirefan   : [13, 04 2020 20:07:17]
Valid narrative: DelayedStartAranessaSaltspite   : [13, 04 2020 20:07:17]
Valid narrative: DelayedStartTretchCravenTail   : [13, 04 2020 20:07:17]
Valid narrative: DelayedStartCountNoctilus   : [13, 04 2020 20:07:17]
Valid narrative: DelayedStartAlithAnar   : [13, 04 2020 20:07:17]
Starting narrative   : [13, 04 2020 20:07:17]
